corpus,reference,score 1,score 2,score 3,score 4,score 5
0,,0.04156,0.04156,0.04156,0.04156,0.04156
1,0.00000,0.00526,0.00526,0.00526,0.00526,0.00526
10,0.00518,0.01813,0.01813,0.01813,0.01813,0.01813
11,0.06427,0.00514,0.00514,0.00514,0.00514,0.00514
12,0.01587,0.02910,0.02910,0.02910,0.02910,0.02910
13,0.03807,0.00761,0.00761,0.00761,0.00761,0.00761
14,0.01562,0.05729,0.05469,0.05469,0.04948,0.04948
15,0.00775,0.02842,0.02842,0.02842,0.02842,0.02842
16,0.03030,0.01768,0.01515,0.01515,0.01263,0.01263
17,0.00000,0.00251,0.00251,0.00251,0.00251,0.00251
18,0.00521,0.01823,0.01823,0.01823,0.01823,0.01823
19,0.02835,0.01546,0.01546,0.01546,0.01289,0.01289
2,0.00505,0.02778,0.02778,0.02778,0.02778,0.02778
20,0.00250,0.02500,0.02250,0.02250,0.02250,0.02250
21,0.00509,0.00000,0.00000,0.00000,0.00000,0.00000
22,0.00000,0.00811,0.00811,0.00811,0.00811,0.00811
23,0.01337,0.04545,0.03476,0.03476,0.03476,0.03476
24,0.00267,0.02133,0.02133,0.02133,0.02133,0.02133
25,0.01302,0.02083,0.02083,0.02083,0.02083,0.02083
26,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
27,0.03077,0.00000,0.00000,0.00000,0.00000,0.00000
28,0.04393,0.01292,0.01292,0.01292,0.01292,0.01292
29,0.01005,0.00503,0.00503,0.00503,0.00503,0.00503
3,0.00000,0.01754,0.01754,0.01754,0.01754,0.01754
30,0.02314,0.10283,0.08483,0.08483,0.08483,0.08483
31,0.11813,0.03022,0.02747,0.02747,0.02747,0.02747
32,0.00506,0.00000,0.00000,0.00000,0.00000,0.00000
33,0.02439,0.00000,0.00000,0.00000,0.00000,0.00000
34,0.01823,0.02083,0.02083,0.02083,0.02083,0.02083
35,0.04523,0.00503,0.00503,0.00503,0.00503,0.00503
36,0.00000,0.00504,0.00504,0.00504,0.00504,0.00504
37,0.02100,0.00000,0.00000,0.00000,0.00000,0.00000
38,0.01989,0.02273,0.02273,0.01989,0.01989,0.01989
39,0.01028,0.00000,0.00000,0.00000,0.00000,0.00000
4,0.00000,0.00519,0.00519,0.00519,0.00519,0.00519
40,0.06219,0.03980,0.03731,0.03731,0.03731,0.03483
41,0.02394,0.02660,0.02660,0.02660,0.02128,0.02128
42,0.05236,0.04974,0.04712,0.04712,0.04712,0.04712
43,0.03385,0.07031,0.07031,0.06510,0.06510,0.06510
44,0.03636,0.00000,0.00000,0.00000,0.00000,0.00000
45,0.00512,0.01535,0.01279,0.01279,0.01279,0.01279
46,0.03385,0.07031,0.07031,0.06510,0.06510,0.06510
47,0.03636,0.00000,0.00000,0.00000,0.00000,0.00000
48,0.00512,0.01535,0.01279,0.01279,0.01279,0.01279
5,0.02618,0.00262,0.00262,0.00262,0.00262,0.00262
6,0.05823,0.00000,0.00000,0.00000,0.00000,0.00000
7,0.02320,0.01031,0.01031,0.01031,0.01031,0.01031
8,0.01538,0.01538,0.01282,0.01282,0.01282,0.01282
9,0.03846,0.01648,0.01648,0.01648,0.01648,0.01648
